Code;Nom;Nom Légal;Adresse;Ville;Province;Code Postal;Pays;Téléphone;Fax;Courriel
Bois Econo;Bois Econo;Bois Econo;3545 Rue du Parc Industriel;Jonquière;QC;G7X 9J2;Canada;418 542-1234;;lesboisecono@hotmail.fr
Boréal FAB;Boréal FAB;Boréal FAB;1640 Av de la Technologie;Alma;QC;G8C 0E1;Canada;1 844 654-2020;418 719-2079;facture@produitsboreal.ca
BPDR;Béton préfabriqué du;Béton préfabriqué du richelieu;890 rue des Pins Ouest;Alma;QC;G8B 7R3;Canada;418 668-6161;418 668-4404;dcouture@bpdl.com
Brandt Tractor;Brandt Tractor LTD;Brandt Tractor LTD;;;;;;;;
Calcites Du Nord;Calcites Du Nord;Calcites Du Nord;998 route des Trappistes;Dolbeau-Mistassini;QC;G8L 5E6;Canada;;;alineboulianne@dlavoie.com
Camping St-Félicien;Camping du Zoo St-Fé;Camping St-Félicien;2206 boul du Jardin CP106;St-Félicien;QC;G8K 2P8;Canada;;;direction@campingstfelicien.com
CanMec;CanMec;CanMec;1750 la Grande;Saguenay;QC;G7K 1H7;Canada;;;CAP@canmec.com
CanMec Express;CanMec Expresse;CanMec Expresse;850 RTE DE TADOUSSAC;CHICOUTIMI;QC;;Canada;;;CAP@canmec.com
Capital;Équipement Capital;Équipement Capital;325 Rue de la Fabrication;Saint-Ambroise;QC;G7P 3A8;Canada;;;office@equipementcapital.ca
Céréales Normandin;Centre de grains MJ;Céréales Normandin inc.;1001 rang nord;Normandin;QC;G8M 4P3;Canada;;;annie.guimond@cerealesnormandin.com
Charcuterie L.Fortin;Charcuterie L.Fortin;Charcuterie L.Fortin ltée;845 avenue Bombardier;Alma;QC;G8B 6H2;Canada;418 347-3365;;marie-france.lajoie@nutrinor.com
Chateau richer;Chateau richer;Chateau richer;;;;;;;;
Chocolaterie;Chocolaterie des pères;Chocolaterie des pères trappistes;555 route du père Francois Xavier;Dolbeau-Mistassini;QC;G8L 5E5;Canada;;;comptabilite2@chocolateriedesperes.com
Conception GoBox;Conception GoBox;Conception GoBox;3544 rue du Parc Industriel;Jonquière;QC;G7X 9J3;Canada;418 590-9333;;info@goboxconception.com
Congélerie héritier;Congélerie Héritier;Congélerie Héritier;1332 avenue des Bassins;Normandin;QC;G8M 0B5;Canada;;;Comptabilite@congelerieheritier.com
Construction AL;Construction Alain L;Construction Alain Lavoie;616 rue Principale;Saint-Edmond-les-Plaines;QC;G0W 2M0;Canada;418 274-2897;;constal2011@hotmail.com
Construction Bon-Air;Construction Bon-Air;Construction Bon-Air;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;
Coupe Sag;Coupe Sag;Coupe Sag;;;;;;;;
CTA ALMA;CTA;CTA ALMA;750 RUE DES PINS OUEST;ALMA;QC;G8B 7R3;Canada;418 668-4758;;fournisseurs@ctasaglac.com
CTA Roberval;Chaîne de Travail Adapté;Chaîne de Travail Adapté;750 rue des Pins O;Alma;QC;G8B 7R3;Canada;;;fournisseurs@ctasaglac.com
Desco;Desco;Desco;69 QC 155;Chambord;QC;G0W 1G0;Canada;418 342-1387;;payable@descoinc.ca
DIVERS;DIVERS;DIVERS;;;;;;;;
Domaine l'or-piste;Domaine L'Or-Piste;Domaine L'Or-Piste;3128 rue Alger;Jonquière;QC;;Canada;581 882-8000;418 718-2000;info@lorpiste.com
Dufour et Frères;Dufour et Frères;Les Entreprises Dufour et Frères;130 rue Principal;St-Eugène;QC;G0W 1B0;Canada;418 276-1478;;info@lesentreprisesdufour.com
EccoFaune;EcoFaune Boréale;EcoFaune Boréale Cégep de Saint-Félicien;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;jfhalle@ecofauneboreale.ca
Echafaudage ind;Echafaudage industriel;Echafaudage industriel;;;;;;;;
Eco Faune;Eco Faune;Eco Faune Cegep St-Félicien;1105 boul. Hamel;St-Félicien;QC;;Canada;;;
éco luzerne;éco luzerne;Eco-Luzerne;251 rue Joseph-Hamel;Hébertville-Station;QC;;Canada;418 343-2459;;sroberge@ecoluzerne.com
Emblème Canneberge;Emblème Canneberge;Emblème Canneberge;487 rue Bergeron;Saint-Eulalie;QC;G0Z 1E0;Canada;;;sboislard@emblemecanneberge.com
Entreprise Alfred Bo;Les Entreprises Alfred;Les Entreprises Alfred Boivin;2205 rue de la fonderie;Chicoutimi;QC;G7H 8B9;Canada;418 549-2457;;
Entreprises Dufour;Entreprises Dufour;Les Entreprises Dufour;130 rue Principal;St-Eugène;QC;G0W 1B0;Canada;418 276-1478;;info@lesentreprisesdufour.com
EQUITEM;EQUITEM;ÉQUITEM;150 ROUTE STE-HEDWIDGE;ROBERVAL;QC;G8H 2M9;Canada;418 275-7241;;achats@equitem.ca
Fabmec;Fabmec;Fabmec;1590 boul du Royaume;chicoutimi;QC;G7H 5B1;Canada;418 549-3636;;factures@fabmec.ca
Fennec Foods;Fennec Foods;Fennec Foods;;;;;;;;
Ferme GGA;Ferme GGA;Ferme GGA;524 rue Édouard Niquet;Péribonka;QC;G0W 2G0;Canada;;;admin@fermegga.com
Ferme HP Gagnon;Ferme HP Gagnon;Ferme HP Gagnon & Fils inc.;5241 Boulevard Talbot;Laterrière;QC;G7N 1N7;Canada;418 540-1096;;philippegagnon450@gmail.com
Ferme Maltais enr.;Ferme Maltais enr.;Ferme Maltais enr.;695 rang Petit St-Pierre;Hébertville;QC;G0W 1T0;Canada;;;fermemaltais@gmail.com
Ferme Olofée;Ferme Olofée;Ferme Olofée;1198 rang simple N;Saint-Félicien;QC;G8K 2N8;Canada;;;administration@olofee.com
Ferme Philippe Blodu;Ferme;Ferme Philippe Bolduc;266 Edouard-Niquet;Péribonka;QC;G0W 2G0;Canada;418 218-0919;;patricebolduc77@gmail.com
Ferme Rivard;Ferme Rivard;Productions Rivard inc;285 rang 9;St-Ambroise;QC;G7P 2A2;Canada;;;comptabilite@fermerivard.ca
Ferme Tournevent;Ferme tournevent;Ferme tournevent;352 rang Saint-Isidore;Hébertville;QC;G8N 1L7;Canada;;;facture@tournevent.ca
FOR;FOR;FOR;;;;;;;;
Forrestco;Forrestco;Forrestco Forrestco;717 de la Montagne;Les Bergeronnes;QC;G0T 1G0;Canada;;;magasin@bersaco.com
Fromagerie Perron;Fromagerie Perron;Fromagerie Perron;156 avenue Albert Perron;St-Prime;QC;G8J 1L4;Canada;581 584-3164;;payable@fromagerieperron.com
Gagnon Récupération;Gagnon Récupération;Gagnon Récupération Chambord;130 RTE 169;Chambord;QC;G0W 1G0;Canada;418 346-1600;;a.gagnon.rec@hotmail.com
Garage ASP;Garage Alain St-Pier;Garage Alain St-Pierre;1127 Principale;Saint-Prime;QC;G8J 1V2;Canada;418 251-1052;418 251-1053;jerome@garageasp.com
Géoscientifiques;Géoscientifiques;ISO Services Géoscientifiques;1319 Boul St-Paul;Chicoutimi;QC;G7J 3Y2;Canada;418 698-4498;;dominiclavoie@iosgeo.com
Gestion ITF;Gestion ITF;Gestion ITF 9472-7385 Québec Inc;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;
Global Strategic;GSM;Global Strategic Materials;1685 rue Manic;Chicoutimi;QC;G7K 1G8;Canada;;;kdorgebray@sotrem.ca
Goupe Conseil Nutsh;Goupe Conseil Nutsh;Goupe Conseil Nutshimit-Nippour;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;
Grannulco;Grannulco;Grannulco;644 Chemin du Moulin;Sacré-Coeur;QC;G0T 1Y0;Canada;418 236-1222;;comptabilite@granulco.com
Granules LG;Granules LG;Granules LG;750 chemin de la moraine;St-Félicien;QC;G8K 0A1;Canada;418 679-2647;418 679-0773;facturation@granuleslg.com
Groupe Aishkatsh;Groupe Aishkatsh;Groupe Aishkatsh Divison forêt;1747 rue Ouiatchouan;Mashteuiatsh;QC;G0W 2H0;Canada;581 814-3383;;facturation.foret@groupeaishkatsh.com
Groupe Coderr;Groupe Coderr;Groupe Coderr;420 rue de la Science;Alma;QC;G8C 0J7;Canada;418 668-1234;;melaniecouture@coderr.ca
Groupe MYK;MYK Fabrication;MYK Fabrication;2480 rue Alexis-le-Trotteur;Jonquière;QC;G7X 0G1;Canada;;;cynthia.bouchard@aciermyk.com
Groupe Rémabec;Groupe Rémabec/ Luc;Groupe Rémabec/ Luc Bellavance;1053 boul Ducharme;La Tuque;QC;G9X 3C3;Canada;;;joyce.bibeau@remabec.com
Inotech;Inotech;Inotech;1142 rue Nérée-Cloutier;Normandin;QC;G8M 4H5;Canada;418 274-2282;418 274-5833;rcoulombe@inotechcanada.com
Inventium intern.;Inventium international;Inventium international inc.;17 rue commercial;Hébertville;QC;G8N 1N3;Canada;418 344-4633;418 344-4634;micheles@cgocable.ca
J.Y. Moreau;J.Y. Moreau;J.Y. Moreau;;;;;;;;
JWG Palbois;JWG Palbois;JWG Palettes Palbois;1013 chemin Industriel;Lévis;QC;;Canada;418 831-1117;;Payablespalette@jwg.ltd
Kenny-u-pull;Kenny-u-pull;Kenny-u-pull Michael;4383 rue Chateauguay;Jonquière;QC;G8A 0A3;Canada;;;msabeau@kennyupull.com
Kupetatsheu's inc;Kupetatsheu's inc.;Kupetatsheu's inc.;;;;;;;;nicolas.vaillancourt@alfredboivin.com
La Chouape;La Chouape;La Chouape;1070 Rang Double N;Saint-Félicien;QC;G8K 1W3;Canada;;;administration@lachouape.com
La voie Maltée;Voie Maltée;La Voie Maltée;224 rue des Laurentides;Chicoutimi;QC;G7H 7X8;Canada;418 615-1414;;sgirard@lavoiemaltee.com
Lar machinerie INC;Lar machinerie inc.;Lar machinerie inc.;1760 route 169;Métabetchouan-Lac-à-la-Croix;QC;G8G 1B1;Canada;418 349-2875;418 349-8415;facture@lar.qc.ca
legupro;legupro;9517-8869 Québec Inc. Propur Frais;57 Rang Est;St-Ambroise;QC;G7P 2V4;Canada;418 672-4717;;guy.savard@legupro.ca
Les constructions gr;Les Constructions Gr;Les Constructions Grandbois;1000E rue Martel;Richelieu;QC;J3L 0X2;Canada;;;lesconstructionsgrandbois@gmail.com
Les entreprises Dufo;Les entreprises Dufo;Les entreprises Dufour;130 principale;Saint-Eugène-d'Argentenay;QC;G0W 1B0;Canada;;;andreanne@lesentreprisesdufour.com
Les industries Grand;Les industries Grand;Les industries Grand;;;;;;;;
Les miels du lac;Les miels du lac;Les miels du lac;;;;;;;;
Les papier du nor;les papiers du nor;les papiers du nor;575 avenue Industiel;St-Bruno;QC;G0W 2L0;Canada;418 321-0447;;yves.claveau2015@gmail.com
LES PAPIERS DU NORD;PAPIERS;LES PAPIERS DU NORD;575 AVENUE INDUSTRIEL;ST-BRUNO;QC;G0W 2L0;Canada;418 321-0447;;yves.claveau2015@gmail.com
Liqueur Lasarre;Liqueur Lasarre;Liqueur Lasarre;;;;;;;;
M-Oliver Consult;M-Oliver Consult;Marc-Oliver Consultant;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;m-o.simard@thewoodlogging.ca
Maçonnerie Dynamique;Maçonnerie Dynamique;Maçonnerie Dynamique;1630 boul. Talbot;Québec;QC;G2N 0C5;Canada;;;
Manergo;Manergo;Manergo;2171 boul Tadoussac;Chicoutimi;QC;G7G 4X2;Canada;;;Michel.Menard@manergo.net
MDED;MDED;MDED;2305 boul. Walberg;Dolbeau-Mistassini;QC;G8L 1K3;Canada;;;
MDED inc;MDED;MDED inc;2305 boul Walberg;Dolbeau-Mistassini;QC;G8L 1K3;Canada;;;compte@mded.ca
Meloche Thomas;Meloche Thomas;Thomas Meloche;194 rue du Quai;St-Rose du Nord;QC;G0V 1T0;Canada;418 672-6461;;melochethomas@gmail.com
Mercier;Mercier Industries;Mercier Industries en mécanique LTÉE;2035 rue Fay;Jonquière;QC;G7S 2N5;Canada;418 548-7141;418 748-9590;soniamercier@mercierindustries.com
Métaux GBL;Métaux GBL;GBL Fabrication Métallique (9027-8987 Québec inc.);550 rue J.Adélard-Gagnon;Dolbeau-Mistassini;QC;G8L 0B9;Canada;418 276-6102;418 276-6103;info@metauxgbl.com
Mick Soudure Mobile;Mick Soudure Mobile;Mick Soudure Mobile;;;;;;;;
Micro Lion Bleu;Microbrasserie Lion;Microbrasserie Lion Bleu;;;;;;;;
Microbrasserie lac;Microbrasserie Lac-S;Microbrasserie Lac-St-Jean;120 rue de la Place;St-Gédéon;QC;G0W 2P0;Canada;;;
Miel du Lac;Miel;Les Miel du lac inc.;398 route Ste-Hedwidge;Roberval;QC;G8H 2M9;Canada;418 515-3351;;info@lesmielsdulacmt.ca
Ministère Env;Ministère Env;Ministère Environnement Division Barrage;;;;;Canada;367 990-7274;;jacques.neron@environnement.gouv.qc.ca
Multi-Ressources;Multi-Ressources;Multi-Ressources Boréal;393 rue Principale;Lac Bouchette;QC;G0W 1V0;Canada;418 698-1652;;secretariat@mrboreal.com
Nolitrex;Nolitrex;Service Nolitrex inc;3462 rue de l'énergie;Jonquière;QC;G7X 9H3;Canada;;;julie@nolitrex.com
Nord-flo;Nord-Flo;Nord-Flo;2392 rue Cantin;Jonquière;QC;G7X 8S6;Canada;418 545-7605;;comptabilite@nord-flo.com
Nutrableu;Nutrableu;Nutrableu;C.P 517;Normandin;QC;G8M 4S6;Canada;;;admin@nutrableu.com
Nutrinor coopérative;Nutrinor coopérative;Nutrinor coopérative;1545 boul St-Jude;Alma;QC;G8B 3L3;Canada;;;payablelait@nutrinor.com
Nutrinor Meunerie;Nutrinor;Nutrinor;425 rue Melançon;Saint-Bruno;QC;G0W 2L0;Canada;;;thomas.cote@nutrinor.com
OBNL;OBNL;OBNL;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;418 637-8668;;jolyanetremblay@hotmail.com
Patate Lac St-Jean;Patate Lac St-Jean;Patate Lac St-Jean;52 rue Édouard Niquet;Péribonka;QC;G0W 2G0;Canada;;;adjointeadm@plsj.ca
PF Résolu Canada;PF Résolu;PF Résolu Canada;Post Office Box 69;Montreal;QC;H3C 2R5;Canada;;;accountspayable@resolutefp.com
Porte ND;Porte ND;Porte ND;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;portesnd@outlook.fr
Prémoulé on;Prémoulé usine évolu;Premoule;270 Des Grands Lacs;St-Augustin-de-Desmaures;QC;G3A 2K1;Canada;418 652-7777;;payable@premoule.com
Prémoulé QC;Prémoulé QC;Prémoulé QC;;;;;;;;
prémoulé usine évolu;Prémoulé usine évolu;Prémoulé usine évolution;1500 boulevard St-Jude Sud;Alma;QC;G8B 3L4;Canada;;;simon-pierre.st-gelais@premoule.com
Produit Gilbert;Les produit Gilberts;Les produit Gilberts;1840 BOUL. MARCOTTE;ROBERVAL;QC;G8H 2P2;Canada;;;payables.produitsgilbert@gilbert-tech.com
Produits Boréal;Boréal FAB;Boréal FAB;1640 Av de la Technologie;Alma;QC;G8C 0E1;Canada;1 844 654-2020;418 719-2079;facture@produitsboreal.ca
Refuge animal;Refuge animal;Refuge animal;2650 Bd Marcotte;Roberval;QC;G8H 2M9;Canada;;;
Résolu (SF);Produits forestiers;Produits forestiers résolu Usine de St-Félicien;4000 chemin St-Eusèbe;St-Félicien;QC;G8K 2R6;Canada;;;accountspayable@resolutefp.com
Résolu (SP);Bois d'ingénirie rés;Bois d'ingénierie résolu Lp Division St-Prime;101 rue du Parc Industriel;St-Prime;QC;G8J 1H3;Canada;;;achat.stprimerlp@resolutefp.com
Résolu lattage;Produits forestiers;Produits forestiers résolu Lattage;;;;;;;;
Rio Tinto;Alcan;Rio Tinto Alcan inc;400-1190 ave des canadiens de;Montréal;QC;H3B 0E3;Canada;;;
RMR Roberval;RMR;RMR du Lac-St-Jean;625 rue Bergeron Ouest;Alma;QC;G8B 1V3;Canada;418 669-0513;;admin@rmrlac.qc.ca
Sablage Industriel;Sablage;Sablage Industriel Saguenay;2110 Boul. St-Jean Batiste;Chicoutimi;QC;G8H 7W1;Canada;418 549-7107;;i.bouchard@sisqc.ca
Sacopan;sacopan;sacopan;652 chemin du moulin;Sacré-Coeur;QC;G0T 1Y0;Canada;;;eric.tremblay@sacopan.com
Sayona;Sayona;Sayona Mining lté;500 route du Lithium;La Corne;QC;J0Y 1R0;Canada;;;payables@sayona.ca
Scepter Aluminium;Scepter Aluminum;Scepter Aluminum Company;2030 chemin de la réserve;Saqguenay;QC;G7J 0E1;Canada;418 548-3535;418 699-4880;pouellet@scepterinc.com
scotts canada;scotts canada;scotts canada;488 rue Gaudreault;St-Ludger-De-Milot;QC;G0W 2B0;Canada;;;fafardmilot@scotts.com
Serres Toundra;Serres Toundra;Serres Toundra;4190 route Ste-Eusèbe;St-Félicien;QC;G8K 2N9;Canada;;;payables@serrestoundra.com
Service A.M.S;Service A.M.S;Service A.M.S;1486 avenue du Rocher;Normandin;QC;G8M 3Y1;Canada;418 274-6323;;administration@serviceams.ca
Service Loc ML;Service Loc ML;Service et Location ML 9531-3987 inc;1665 rue Nishk bureau 510;Mashteuiatsh;QC;G0W 2H0;Canada;;;servicelocationml@hotmail.com
Service Nolitrex;Nolitrex;Services Nolitrex inc.;3462 rue de l'énergie;Joncquière;QC;G7X 9H3;Canada;;;simon.ricard@nolitrex.com
Sitec Amérique;Sitec Amérique;Sitec Amérique du Nord;1130 rue Sherbrooke Ouest;Montréal;QC;H3A 2M8;Canada;514 844-7541;;grace.haddad@sitec.ca
SLB transit;SLB Transit inc.;SLB Transit inc.;3454 des générayeurs;Jonquière;QC;G7X 0M1;Canada;;;
Sollio Agriculture;Sollio;Sollio Groupe Coopératif;9001 Boul. de l'Acadie bur2000;Montreal;QC;H4N 3H7;Canada;514 384-6450;514 850-2584;payables.animal@sollio.ag
St-Félicien Cogénéra;St-Félicien cogénéra;St-Félicien cogénération;1250 rue de l'énergie C.p 127;St-Félicien;QC;G8K 2P8;Canada;;;invoice@st-feliciencogen.com
Steven Moar;Steven Moar;Steven Moar;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;steven.moar@icloud.com
Stobia;Stobia;Stobia;;;;;;;;
Structures CPI inc.;Structures CPI inc.;Structures CPI inc.;516 route 172;St-Nazaire;QC;G0W 2V0;Canada;;;Magasin@proco.ca
Sylvie Roy MA Psy;Sylvie Roy MA Psy;Sylvie Roy MA Psychologue;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;sylvieroy@hotmail.com
Taimi hydraulique;Taimi hydraulique;Faster Hydraulics Canada Corp.;192 Parc-Industriel;Saint-Prime;QC;G8J 2B1;Canada;;;payables@taimi.ca
Techno soude;Techno Soude;Techno Soude inc;2371 rue Bauan;Jonquière;QC;G7S 5A9;Canada;418 548-9114;;payables@technosoude.com
Techno Soudure;Techno Soude;Techno Soude inc;2371 rue Bauman;Jonquière;QC;G7S 5A9;Canada;418 548-9114;;gino.bedard@technosoudure.com
Tony Auclair;Tony Auclair;Tony Auclair;;;;;;;;tauclair_wood@hotmail.com
Transport Alfred Boi;Transport;Transport Alfred Boivin INC;2205 rue dela Fonderie;Chicoutimi;QC;G7H 8B9;Canada;418 549-2457;;julie.laflamme@alfredboivin.com
Transport JP;Transport JP;Transport JP Pelletier Nitassinan;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;jean-philippe.p@outlook.com
Transport Québec;Transport Québec;Ministère des Transports;755 Boul St-Joseph;Roberval;QC;G8H 2L4;Canada;418 275-1231;;facturationcsroberval@transports.gouv.qc.ca
Transport Sanitaire;Transport Sanitaire;Transport Sanitaire Fortin;2205 de la Fonderie;Chicoutimi;QC;G7H 8B9;Canada;;;palettes@alfredboivin.com
Usage Numérique;Usinage numérique pl;Usinage numérique plus;1102 Qc-169;St-Félicien;QC;G8K 1J6;Canada;418 630-2323;;info@usinagenumeriqueplus.com
Usine de congélation;usine de congélation;usine de congélation St-Bruno inc.;698 rue Melancon;St-Bruno;QC;G0W 2L0;Canada;;;payables@wild-blueberries.com
Utapi Consultants;Utapi Consultants;Utapi Consultants Joannie Gill;1665 rue Nishk;Mashteuiatsh;QC;G0W 2H0;Canada;;;info@utapi-consultants.com
Végétolab;Végétolab;Végéto Lab;6502 avenue du Pont Nord;Alma;QC;;Canada;418 487-6517;;jeangaudreault@vegetolab.com
Version Image Plus;Version Image Plus;Version Image Plus;5750 rue Maurice-Cullen;Laval;QC;H7C 2V1;Canada;;;vincent@versionimage.com
Vitrine Techno;Vitrine Techno Agrin;Agrinova Vitrine Technologique;2061 rue Mahikan;Mashteuiatsh;QC;G0W 2H0;Canada;;;maxime.gilot@agrinova.qc.ca
